Player,Team,Position,ruATT,ruYDS,ruTDS,reREC,reYDS,reTDS,paATT,paCMP,paYDS,paTDS,INTS
Alec Pierce,IND,WR,0.0,0.0,0.0,31.2,562.1,3.5,0.0,0.0,0.0,0.0,0.0
Emeka Egbuka,TB,WR,2.2,11.1,0.0,38.0,502.3,3.5,0.0,0.0,0.0,0.0,0.0
Colston Loveland,CHI,TE,0.0,0.0,0.0,43.6,461.6,3.4,0.0,0.0,0.0,0.0,0.0
Tre Tucker,LV,WR,5.7,34.2,0.3,36.8,472.2,2.8,0.0,0.0,0.0,0.0,0.0
Jerome Ford,CLE,RB,104.1,441.1,2.5,25.2,170.4,0.9,0.0,0.0,0.0,0.0,0.0
Theo Johnson,NYG,TE,0.0,0.0,0.0,42.7,469.3,2.5,0.0,0.0,0.0,0.0,0.0
Allen Lazard,NYJ,WR,0.0,0.0,0.0,36.8,476.5,3.4,0.0,0.0,0.0,0.0,0.0
Tutu Atwell,LAR,WR,4.3,20.5,0.1,37.9,484.9,2.4,0.0,0.0,0.0,0.0,0.0
Darius Slayton,NYG,WR,1.4,6.1,0.0,34.4,522.1,2.5,0.0,0.0,0.0,0.0,0.0
Dyami Brown,JAC,WR,0.7,5.8,0.0,38.0,490.9,2.6,0.0,0.0,0.0,0.0,0.0
Rico Dowdle,CAR,RB,117.6,491.5,2.6,18.8,128.9,1.1,0.0,0.0,0.0,0.0,0.0
Dylan Sampson,CLE,RB,116.8,436.8,2.4,22.1,171.9,0.9,0.0,0.0,0.0,0.0,0.0
Bhayshul Tuten,JAC,RB,105.2,446.3,3.1,18.3,146.6,0.9,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,BAL,WR,0.0,0.5,0.0,33.2,428.0,3.9,0.0,0.0,0.0,0.0,0.0
Jalen Coker,CAR,WR,0.0,2.3,0.0,37.1,478.5,2.3,0.0,0.0,0.0,0.0,0.0
Diontae Johnson,CLE,WR,1.0,2.0,0.0,38.1,466.6,2.3,0.0,0.0,0.0,0.0,0.0
Ray-Ray McCloud III,ATL,WR,7.8,51.3,0.2,38.3,416.0,2.3,0.0,0.0,0.0,0.0,0.0
Jalen Tolbert,DAL,WR,0.0,0.0,0.0,34.4,415.7,3.5,0.0,0.0,0.0,0.0,0.0
Nick Westbrook-Ikhine,MIA,WR,0.0,0.0,0.0,31.3,431.5,3.8,0.0,0.0,0.0,0.0,0.0
Zack Moss,CIN,RB,97.6,341.5,2.8,23.1,166.2,1.1,0.0,0.0,0.0,0.0,0.0
Elijah Arroyo,SEA,TE,0.0,0.0,0.0,39.5,419.2,2.5,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,NO,WR,1.7,3.8,0.0,35.6,416.7,2.8,0.0,0.0,0.0,0.0,0.0
Jalen Nailor,MIN,WR,1.1,10.2,0.0,32.9,408.0,3.2,0.0,0.0,0.0,0.0,0.0
Tyler Allgeier,ATL,RB,117.3,530.0,3.2,12.0,87.9,0.3,0.0,0.0,0.0,0.0,0.0
Marquez Valdes-Scantling,SEA,WR,2.6,9.0,0.1,28.3,471.7,2.8,0.0,0.0,0.0,0.0,0.0
Mason Taylor,NYJ,TE,0.0,0.0,0.0,39.6,393.9,2.5,0.0,0.0,0.0,0.0,0.0
Kareem Hunt,KC,RB,97.2,343.3,3.7,18.8,127.6,0.8,0.0,0.0,0.0,0.0,0.0
Roschon Johnson,CHI,RB,88.7,307.3,4.5,19.5,127.2,0.5,0.0,0.0,0.0,0.0,0.0
Will Dissly,LAC,TE,0.0,0.0,0.0,39.0,379.2,2.5,0.0,0.0,0.0,0.0,0.0
Tyler Conklin,LAC,TE,0.0,0.0,0.0,38.9,377.2,2.5,0.0,0.0,0.0,0.0,0.0
Jordan Whittington,LAR,WR,1.1,14.2,0.0,34.3,401.9,2.5,0.0,0.0,0.0,0.0,0.0
Ja'Tavion Sanders,CAR,TE,0.0,0.0,0.0,38.9,390.9,2.1,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,NYJ,WR,0.0,0.0,0.0,31.5,412.0,2.8,0.0,0.0,0.0,0.0,0.0
Isaac Guerendo,SF,RB,100.3,454.3,3.6,11.1,95.7,0.4,0.0,0.0,0.0,0.0,0.0
Nick Chubb,HOU,RB,119.2,476.4,3.9,8.7,66.1,0.4,0.0,0.0,0.0,0.0,0.0
Dontayvion Wicks,GB,WR,0.0,0.0,0.0,29.9,376.1,3.3,0.0,0.0,0.0,0.0,0.0
Braelon Allen,NYJ,RB,98.4,372.1,2.5,17.3,131.0,0.8,0.0,0.0,0.0,0.0,0.0
Jaydon Blue,DAL,RB,85.3,379.2,2.5,16.5,131.1,0.7,0.0,0.0,0.0,0.0,0.0
Kayshon Boutte,NE,WR,0.0,0.0,0.0,29.5,394.8,2.6,0.0,0.0,0.0,0.0,0.0
Ray Davis,BUF,RB,95.0,407.1,2.7,12.2,108.5,1.0,0.0,0.0,0.0,0.0,0.0
Kyle Philips,LV,WR,0.0,0.0,0.0,32.8,387.2,2.0,0.0,0.0,0.0,0.0,0.0
Adonai Mitchell,IND,WR,2.5,15.9,0.1,27.1,387.3,2.6,0.0,0.0,0.0,0.0,0.0
Noah Brown,WAS,WR,0.0,0.0,0.0,31.5,400.4,1.9,0.0,0.0,0.0,0.0,0.0
Justice Hill,BAL,RB,39.2,177.9,1.0,27.6,226.9,1.7,0.0,0.0,0.0,0.0,0.0
Raheem Mostert,LV,RB,77.6,315.4,2.6,18.0,132.0,0.8,0.0,0.0,0.0,0.0,0.0
Skyy Moore,KC,WR,0.0,0.0,0.0,31.4,357.5,2.3,0.0,0.0,0.0,0.0,0.0
Blake Corum,LAR,RB,99.4,394.3,2.7,12.9,94.9,0.6,0.0,0.0,0.0,0.0,0.0
Cole Kmet,CHI,TE,0.0,0.0,0.0,33.6,325.0,2.4,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,BUF,WR,6.6,29.3,0.1,30.3,305.6,2.5,0.0,0.0,0.0,0.0,0.0
Jaylin Noel,HOU,WR,0.0,0.0,0.0,29.7,357.9,2.3,0.0,0.0,0.0,0.0,0.0
Kendre Miller,NO,RB,98.9,383.8,3.5,10.8,81.5,0.2,0.0,0.0,0.0,0.0,0.0
Troy Franklin,DEN,WR,1.1,5.8,0.0,27.1,342.5,2.7,0.0,0.0,0.0,0.0,0.0
Trey Benson,ARI,RB,87.1,412.9,2.4,11.0,82.0,0.5,0.0,0.0,0.0,0.0,0.0
